Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,State Abv
2012,41,1,Alabama,,58.60%,56.00%,,"2,074,338","3,539,217",3707440,2.60%,"32,232","57,993","8,616","71,584",AL
2012,81,2,Alaska,58.90%,58.70%,55.30%,"301,694","300,495","511,792",543763,3.80%,"5,633","7,173","1,882","11,317",AK
2012,61,3,Arizona,53.00%,52.60%,46.50%,"2,323,579","2,306,559","4,387,900",4959270,9.90%,"35,188","72,452","7,460","81,048",AZ
2012,42,4,Arkansas,51.10%,50.70%,47.70%,"1,078,548","1,069,468","2,109,847",2242740,3.50%,"14,471","30,122","23,372","53,808",AR
2012,71,5,California,55.70%,55.10%,45.10%,"13,202,158","13,038,547","23,681,837",28913129,17.40%,"119,455",0,"89,287","208,742",CA
2012,62,6,Colorado,70.60%,69.90%,64.50%,"2,596,173","2,569,522","3,675,871",3981208,6.90%,"18,807",0,"11,458","30,265",CO
2012,1,7,Connecticut,61.40%,61.30%,55.60%,"1,560,640","1,558,960","2,543,202",2801375,8.50%,"16,935",0,"2,793","19,728",CT
2012,11,8,Delaware,,62.30%,57.80%,,"413,921","663,967",715708,5.10%,"6,610","15,641",601,"15,501",DE
2012,55,9,District of Columbia,61.60%,61.50%,55.50%,"294,254","293,764","477,582",528848,9.70%,0,0,0,0,District of Columbia
2012,43,10,Florida,63.30%,62.80%,55.10%,"8,538,264","8,474,179","13,495,057",15380947,10.80%,"91,954","240,869","4,538","224,153",FL
2012,44,11,Georgia,59.30%,59.00%,52.30%,"3,919,355","3,900,050","6,606,607",7452696,7.20%,"52,737","442,061","24,761","311,790",GA
2012,82,12,Hawaii,44.50%,44.20%,39.90%,"437,159","434,697","982,902",1088335,9.20%,"5,544",0,0,"5,544",HI
2012,63,13,Idaho,61.00%,59.80%,55.60%,"666,290","652,274","1,091,410",1173727,4.60%,"7,985","31,606","3,848","28,584",ID
2012,21,14,Illinois,59.30%,58.90%,53.30%,"5,279,752","5,242,014","8,899,143",9827043,8.90%,"49,348",0,0,"49,348",IL
2012,22,15,Indiana,56.00%,55.20%,52.90%,"2,663,368","2,624,534","4,755,291",4960376,3.60%,"28,266",0,0,"28,266",IN
2012,31,16,Iowa,70.60%,70.30%,67.10%,"1,589,951","1,582,180","2,251,748",2356209,3.20%,"8,470","29,333","5,151","29,167",IA
2012,32,17,Kansas,58.20%,56.90%,53.50%,"1,182,771","1,156,254","2,030,686",2162442,5.00%,"9,346","17,021","5,126","23,493",KS
2012,51,18,Kentucky,56.20%,55.70%,53.40%,"1,815,843","1,797,212","3,229,185",3368684,2.20%,"21,863","54,511","14,419","65,173",KY
2012,45,19,Louisiana,60.80%,60.20%,57.00%,"2,014,548","1,994,065","3,311,626",3495847,2.70%,"40,047","41,298","28,946","90,881",LA
2012,2,20,Maine,69.30%,68.20%,67.00%,"724,758","713,180","1,046,008",1064779,1.80%,0,0,0,0,ME
2012,52,21,Maryland,67.30%,66.60%,59.50%,"2,734,062","2,707,327","4,063,582",4553853,8.90%,"20,871","96,640","13,195","85,285",MD
2012,3,22,Massachusetts,66.20%,65.90%,60.20%,"3,184,196","3,167,767","4,809,675",5263550,8.40%,"10,283",0,0,"10,283",MA
2012,23,23,Michigan,65.40%,64.70%,62.00%,"4,780,701","4,730,961","7,312,725",7625576,3.50%,"43,019",0,0,"43,019",MI
2012,33,24,Minnesota,76.40%,76.00%,71.40%,"2,950,780","2,936,561","3,861,598",4114820,4.40%,"9,383","108,157","6,006","72,712",MN
2012,46,25,Mississippi,,59.30%,57.20%,,"1,285,584","2,166,825",2246931,1.50%,"22,305","30,768","6,804","45,416",MS
