Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Brenden Aaronson,"FW,MF",Leeds United,25-016,2000,10,7,638,7.1,1,0,1,1,0,0,1,0,1.6,1.6,1.2,2.9,17,20,36,0.14,0,0.14,0.14,0.14,0.23,0.17,0.4,0.23,0.4
2,Joshua Acheampong,DF,Chelsea,19-186,2006,5,4,349,3.9,1,0,1,1,0,0,0,0,0.6,0.6,0,0.6,4,11,0,0.26,0,0.26,0.26,0.26,0.16,0,0.16,0.16,0.16
3,Tyler Adams,MF,Bournemouth,26-266,1999,10,10,862,9.6,1,1,2,1,0,0,4,0,0.4,0.4,0.1,0.5,5,40,6,0.1,0.1,0.21,0.1,0.21,0.04,0.01,0.05,0.04,0.05
4,Tosin Adarabioyo,DF,Chelsea,28-044,1997,7,3,381,4.2,0,0,0,0,0,0,1,0,0,0,0,0,2,15,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
5,Simon Adingra,FW,Sunderland,23-310,2002,6,4,273,3,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,6,2,33,0,0,0,0,0,0.05,0.2,0.24,0.05,0.24
6,Amine Adli,"FW,MF",Bournemouth,25-181,2000,7,1,189,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,5,19,0,0,0,0,0,0.05,0.08,0.13,0.05,0.13
7,Emmanuel Agbadou,DF,Wolves,28-143,1997,8,6,561,6.2,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,3,26,5,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08
8,Nayef Aguerd,DF,West Ham,29-222,1996,2,2,180,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,9,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05
9,Ola Aina,DF,Nott'ham Forest,29-030,1996,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0.1,0.2,5,11,8,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06
10,Rayan Ait-Nouri,DF,Manchester City,24-154,2001,4,3,203,2.3,0,0,0,0,0,0,1,0,0,0,0.2,0.2,7,7,8,0,0,0,0,0,0.02,0.09,0.11,0.02,0.11
11,Kristoffer Ajer,DF,Brentford,27-204,1998,7,4,389,4.3,0,1,1,0,0,0,0,0,0.5,0.5,0.7,1.2,6,15,6,0,0.23,0.23,0,0.23,0.12,0.16,0.27,0.12,0.27
12,Nathan Ake,DF,Manchester City,30-262,1995,5,1,205,2.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,4,20,2,0,0,0,0,0,0.12,0.04,0.16,0.12,0.16
13,Carlos Alcaraz,"FW,MF",Everton,22-342,2002,8,2,247,2.7,0,0,0,0,0,0,2,0,0.2,0.2,0,0.3,2,5,13,0,0,0,0,0,0.08,0.01,0.1,0.08,0.1
14,Omar Alderete,DF,Sunderland,28-316,1996,8,7,668,7.4,1,1,2,1,0,0,1,0,0.6,0.6,0.1,0.7,10,31,2,0.13,0.13,0.27,0.13,0.27,0.08,0.01,0.09,0.08,0.09
15,Alisson,GK,Liverpool,33-036,1992,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
16,Ethan Ampadu,MF,Leeds United,25-054,2000,8,8,697,7.7,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,11,29,7,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06
17,Joachim Andersen,DF,Fulham,29-160,1996,9,9,761,8.5,0,0,0,0,0,0,0,0,0.5,0.5,0.7,1.2,7,33,4,0,0,0,0,0,0.06,0.08,0.14,0.06,0.14
18,Elliot Anderson,MF,Nott'ham Forest,23-001,2002,10,10,900,10,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.4,13,89,27,0,0.1,0.1,0,0.1,0.08,0.17,0.24,0.08,0.24
19,Andre,MF,Wolves,24-114,2001,10,7,615,6.8,0,0,0,0,0,0,2,0,0,0,0.1,0.1,7,25,3,0,0,0,0,0,0,0.01,0.02,0,0.02
20,Jaidon Anthony,"MF,FW",Burnley,25-341,1999,10,10,806,9,4,1,5,4,0,0,3,0,2.1,2.1,0.4,2.5,19,12,38,0.45,0.11,0.56,0.45,0.56,0.24,0.04,0.28,0.24,0.28
21,Alphonse Areola,GK,West Ham,32-253,1993,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Jhon Arias,FW,Wolves,28-047,1997,10,7,547,6.1,0,0,0,0,0,0,0,0,1,1,0.5,1.5,9,19,30,0,0,0,0,0,0.17,0.07,0.25,0.17,0.25
23,Harrison Armstrong,FW,Everton,18-292,2007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Tolu Arokodare,FW,Wolves,24-349,2000,7,2,211,2.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.6,3,0,10,0,0,0,0,0,0.18,0.06,0.24,0.18,0.24
25,Taiwo Awoniyi,FW,Nott'ham Forest,28-087,1997,3,1,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,1,4,0,0,0,0,0,0.16,0.13,0.29,0.16,0.29
26,Yasin Ayari,MF,Brighton,22-032,2003,10,8,782,8.7,1,0,1,1,0,0,0,0,1,1,0.3,1.3,8,30,13,0.12,0,0.12,0.12,0.12,0.11,0.03,0.14,0.11,0.14
27,Benoit Badiashile,DF,Chelsea,24-226,2001,2,1,66,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
28,Dilane Bakwa,"FW,MF",Nott'ham Forest,23-073,2002,4,2,174,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,6,9,22,0,0,0,0,0,0.07,0.2,0.27,0.07,0.27
29,Carlos Baleba,MF,Brighton,21-308,2004,10,9,571,6.3,0,0,0,0,0,0,3,0,0.1,0.1,0,0.2,6,10,7,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
30,Daniel Ballard,DF,Sunderland,26-046,1999,8,5,492,5.5,1,0,1,1,0,0,0,0,0.9,0.9,0.7,1.6,2,13,2,0.18,0,0.18,0.18,0.18,0.16,0.13,0.28,0.16,0.28
31,Ross Barkley,MF,Aston Villa,31-337,1993,4,0,65,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,3,6,3,0,0,0,0,0,0.3,0.06,0.37,0.3,0.37
32,Ashley Barnes,FW,Burnley,36-008,1989,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,Harvey Barnes,FW,Newcastle Utd,27-333,1997,10,3,394,4.4,0,0,0,0,0,0,0,0,1,1,0.8,1.8,17,16,44,0,0,0,0,0,0.22,0.19,0.41,0.22,0.41
34,Thierno Barry,FW,Everton,23-017,2002,10,3,308,3.4,0,0,0,0,0,0,1,0,1,1,0,1,2,2,19,0,0,0,0,0,0.29,0.01,0.3,0.29,0.3
35,Calvin Bassey,DF,Fulham,25-311,1999,10,9,819,9.1,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,11,23,2,0,0,0,0,0,0.02,0,0.02,0.02,0.02
36,Altay Bay?nd?r,GK,Manchester Utd,27-207,1998,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04
37,Jean-Ricner Bellegarde,"MF,FW",Wolves,27-133,1998,9,5,408,4.5,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,18,26,14,0,0,0,0,0,0.07,0.07,0.14,0.07,0.14
38,Rodrigo Bentancur,MF,Tottenham,28-135,1997,9,8,645,7.2,1,1,2,1,0,0,1,0,0.3,0.3,0.5,0.9,3,27,13,0.14,0.14,0.28,0.14,0.28,0.05,0.07,0.12,0.05,0.12
39,Sander Berge,MF,Fulham,27-266,1998,10,10,868,9.6,0,0,0,0,0,0,2,0,0.6,0.6,0.5,1,13,48,5,0,0,0,0,0,0.06,0.05,0.11,0.06,0.11
40,Lucas Bergvall,"MF,FW",Tottenham,19-278,2006,9,5,413,4.6,1,1,2,1,0,0,1,0,0.6,0.6,0.3,0.8,9,20,24,0.22,0.22,0.44,0.22,0.44,0.12,0.06,0.18,0.12,0.18
41,Beto,FW,Everton,27-280,1998,10,7,597,6.6,1,0,1,1,0,0,1,0,3.9,3.9,0.4,4.3,2,2,27,0.15,0,0.15,0.15,0.15,0.59,0.06,0.65,0.59,0.65
42,Jaka Bijol,DF,Leeds United,26-275,1999,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0,0.04,0.04,0,0.04
43,Marco Bizot,GK,Aston Villa,34-242,1991,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,Oscar Bobb,"MF,FW",Manchester City,22-118,2003,8,5,454,5,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1,16,17,52,0,0.2,0.2,0,0.2,0.07,0.13,0.2,0.07,0.2
45,Lamare Bogarde,MF,Aston Villa,21-306,2004,6,3,281,3.1,0,0,0,0,0,0,1,0,0,0,0,0,3,8,2,0,0,0,0,0,0,0.01,0.01,0,0.01
46,Jayden Bogle,DF,Leeds United,25-103,2000,10,10,868,9.6,0,0,0,0,0,0,2,0,0.7,0.7,0.2,0.9,22,24,43,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09
47,Sven Botman,DF,Newcastle Utd,25-299,2000,8,7,552,6.1,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,1,19,2,0,0,0,0,0,0.02,0.09,0.11,0.02,0.11
48,Jarrod Bowen,"FW,MF",West Ham,28-322,1996,10,10,900,10,3,1,4,3,0,0,0,0,1.3,1.3,1.8,3.1,32,20,76,0.3,0.1,0.4,0.3,0.4,0.13,0.18,0.31,0.13,0.31
49,Conor Bradley,DF,Liverpool,22-121,2003,8,6,448,5,0,0,0,0,0,0,3,0,0.1,0.1,0,0.1,16,22,21,0,0,0,0,0,0.02,0,0.02,0.02,0.02
