Manchester City,Arsenal,Liverpool,Liverpool,Liverpool,Liverpool,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal
Sunderland,Tottenham,Chelsea,Arsenal,Arsenal,Arsenal,Liverpool,Manchester City,Bournemouth,Manchester City,Chelsea
Tottenham,Liverpool,Arsenal,Tottenham,Tottenham,Crystal Palace,Tottenham,Bournemouth,Tottenham,Liverpool,Manchester City
Liverpool,Chelsea,Tottenham,Bournemouth,Bournemouth,Tottenham,Bournemouth,Liverpool,Sunderland,Sunderland,Sunderland
Nottingham Forest,Nottingham Forest,Everton,Chelsea,Crystal Palace,Sunderland,Manchester City,Chelsea,Manchester City,Bournemouth,Tottenham
Arsenal,Manchester City,Sunderland,Everton,Chelsea,Bournemouth,Crystal Palace,Tottenham,Manchester United,Tottenham,Liverpool
Leeds United,Sunderland,Bournemouth,Sunderland,Sunderland,Manchester City,Chelsea,Sunderland,Liverpool,Chelsea,Aston Villa
Brighton,Everton,Crystal Palace,Manchester City,Fulham,Chelsea,Everton,Crystal Palace,Aston Villa,Manchester United,Manchester United
Fulham,Bournemouth,Manchester United,Crystal Palace,Manchester City,Everton,Sunderland,Manchester United,Chelsea,Crystal Palace,Bournemouth
Aston Villa,Brentford,Nottingham Forest,Newcastle United,Everton,Brighton,Manchester United,Brighton,Crystal Palace,Brighton,Crystal Palace
Chelsea,Burnley,Brighton,Fulham,Manchester United,Fulham,Newcastle United,Aston Villa,Brentford,Aston Villa,Brighton
Crystal Palace,Leeds United,Leeds United,Brentford,Leeds United,Leeds United,Brighton,Everton,Newcastle United,Brentford,Brentford
Newcastle United,Fulham,Manchester City,Brighton,Newcastle United,Brentford,Aston Villa,Brentford,Brighton,Newcastle United,Everton
Everton,Crystal Palace,Burnley,Manchester United,Brighton,Manchester United,Fulham,Newcastle United,Everton,Everton,Newcastle United
Manchester United,Newcastle United,Brentford,Nottingham Forest,Nottingham Forest,Newcastle United,Leeds United,Fulham,Leeds United,Fulham,Fulham
Bournemouth,Manchester United,West Ham United,Leeds United,Burnley,Aston Villa,Brentford,Leeds United,Burnley,Leeds United,Leeds United
Brentford,Aston Villa,Newcastle United,Burnley,Brentford,Nottingham Forest,Nottingham Forest,Nottingham Forest,Fulham,Burnley,Burnley
Burnley,Brighton,Fulham,West Ham United,Aston Villa,Burnley,Burnley,Burnley,Nottingham Forest,West Ham United,West Ham United
West Ham United,Wolverhampton,Aston Villa,Aston Villa,West Ham United,West Ham United,West Ham United,West Ham United,West Ham United,Nottingham Forest,Nottingham Forest
Wolverhampton,West Ham United,Wolverhampton,Wolverhampton,Wolverhampton,Wolverhampton,Wolverhampton,Wolverhampton,Wolverhampton,Wolverhampton,Wolverhampton
